Def_Tm,Def_Year,Def_PF,Def_Fum_Play,Def_Att_Pass,Def_Comp_Pct,Def_TD_PA,Def_INT_PA,Def_NY/A,Def_1D_PA,Def_Att_Rush,Def_TD_RA,Def_Y/A,Def_1D_RA
MIN,2017,252,0.005230125523012552,555,0.5837837837837838,0.023423423423423424,0.025225225225225224,5.2,0.3027027027027027,364,0.027472527472527472,3.7,0.1620879120879121
JAX,2017,268,0.012084592145015106,509,0.5677799607072691,0.03339882121807466,0.0412573673870334,4.8,0.28094302554027506,429,0.02097902097902098,4.3,0.21212121212121213
LAC,2017,272,0.009027081243731194,524,0.6278625954198473,0.03244274809160305,0.03435114503816794,5.6,0.2919847328244275,430,0.02558139534883721,4.9,0.2302325581395349
PHI,2017,295,0.012295081967213115,601,0.6039933444259568,0.03993344425956739,0.03161397670549085,5.7,0.2945091514143095,337,0.020771513353115726,3.8,0.18397626112759644
NE,2017,296,0.005870841487279843,590,0.6220338983050847,0.04067796610169491,0.020338983050847456,6.4,0.34576271186440677,390,0.015384615384615385,4.7,0.2512820512820513
BAL,2017,303,0.011483253588516746,569,0.5852372583479789,0.03163444639718805,0.03866432337434095,5.6,0.3145869947275923,435,0.027586206896551724,4.1,0.2
PIT,2017,308,0.006382978723404255,499,0.5951903807615231,0.04008016032064128,0.03206412825651302,5.8,0.31462925851703405,385,0.03636363636363636,4.4,0.23116883116883116
ATL,2017,315,0.008048289738430584,553,0.6546112115732369,0.039783001808318265,0.014466546112115732,5.8,0.3562386980108499,402,0.022388059701492536,4.1,0.24129353233830847
CHI,2017,320,0.013958125623130608,529,0.6483931947069943,0.034026465028355386,0.015122873345935728,5.9,0.34026465028355385,432,0.023148148148148147,4.0,0.19675925925925927
NO,2017,326,0.00499001996007984,554,0.5938628158844765,0.039711191335740074,0.036101083032490974,6.0,0.3104693140794224,406,0.027093596059113302,4.4,0.22660098522167488
CAR,2017,327,0.011542497376705142,550,0.6381818181818182,0.045454545454545456,0.01818181818181818,6.1,0.34,353,0.019830028328611898,4.0,0.1954674220963173
LA,2017,329,0.009794319294809012,555,0.5837837837837838,0.03783783783783784,0.032432432432432434,5.8,0.3261261261261261,418,0.03588516746411483,4.7,0.20574162679425836
DAL,2017,332,0.011,559,0.6636851520572451,0.05008944543828265,0.017889087656529516,5.7,0.32379248658318427,403,0.017369727047146403,4.1,0.23821339950372208
SEA,2017,332,0.010526315789473684,554,0.5866425992779783,0.03429602888086643,0.02527075812274368,5.6,0.3267148014440433,452,0.030973451327433628,4.0,0.19911504424778761
KC,2017,339,0.009578544061302681,570,0.5701754385964912,0.04035087719298246,0.028070175438596492,6.6,0.35789473684210527,443,0.033860045146726865,4.3,0.2528216704288939
CIN,2017,349,0.002749770852428964,561,0.5989304812834224,0.035650623885918005,0.0196078431372549,5.6,0.3083778966131907,489,0.026584867075664622,4.2,0.22699386503067484
TEN,2017,356,0.008604206500956023,605,0.6099173553719008,0.04462809917355372,0.019834710743801654,5.9,0.38181818181818183,398,0.01256281407035176,3.6,0.1708542713567839
BUF,2017,359,0.006566604127579738,573,0.6457242582897034,0.02443280977312391,0.031413612565445025,6.1,0.3472949389179756,466,0.04721030042918455,4.3,0.259656652360515
ARI,2017,361,0.005952380952380952,564,0.6081560283687943,0.0425531914893617,0.026595744680851064,5.9,0.33156028368794327,407,0.029484029484029485,3.5,0.16707616707616707
